name,player_id,guild_name,guild_id,points_change,battles_change,era,points,battles
Nelucy,10039284,Spirit of Herkules,21272,2114150,464,FutureEra,271412557,75416
mami1,2592714,,,0,0,FutureEra,271313860,231349
SirShifty,3968592,Next Generation,16,89322,21,SpaceAgeMars,270907055,76396
wolfvers,4472427,filippano,2195,0,0,SpaceAgeTitan,270899210,54027
helle01,2321889,Verpflichtungslos,15784,0,0,SpaceAgeTitan,270645000,38730
Black Cat.,1845688,,,0,0,VirtualFuture,270001401,124212
Atlantom,5440936,Newcomer,9175,413076,93,VirtualFuture,269823062,120408
Gerd Zewe der Fortune,3821314,Enterprise,877,0,0,SpaceAgeSpaceHub,269494192,37727
Nur zum Spaß,849443827,Taj 🕌 Mahal,16562,1350870,367,TomorrowEra,269491976,178852
Castrop von Rauxel,8664113,Next Generation,16,754075,107,SpaceAgeAsteroidBelt,269278379,112819
Prinzessin Vilana,7890873,,,0,0,SpaceAgeTitan,269236791,43120
Das Verderben one,2840738,Weltenbummler,18230,0,0,SpaceAgeAsteroidBelt,268970664,79156
THORbias666,852949854,Stormy Times,24439,497035,51,SpaceAgeSpaceHub,268915017,23976
Graf von Stolberg,4425602,Time out,22993,161335,15,SpaceAgeTitan,268338557,71298
Huawie,849082908,,,0,0,SpaceAgeTitan,268274088,81817
RampantRabbit,4271941,-Q-,4323,0,0,SpaceAgeAsteroidBelt,267956731,60716
HaJu,3370451,HSV,13212,0,0,SpaceAgeTitan,267879774,47676
tinobino15,4139106,Schwarze Engel🕊,4132,0,0,SpaceAgeSpaceHub,267643750,30062
DerBöhseWolf,850099073,Von der Insel,8427,182964,110,ColonialAge,267610613,171752
catiiniaa,5080548,Götterbande,3358,0,0,SpaceAgeSpaceHub,267256875,48246
Kingschappa,8090807,,,0,0,SpaceAgeJupiterMoon,267247321,59375
Nike des Ptolemäus,850284584,,,0,0,SpaceAgeMars,267244722,137843
superhsv1887,389384,Neuanfänger,11587,109170,0,SpaceAgeSpaceHub,267167310,16214
CasperderDackel,850798891,Astra 💫 Australis,20187,744072,65,FutureEra,267073356,142485
Princess Desiree,2476402,Adels-Ruhepol,23526,0,0,FutureEra,267009870,167698
gibo963,4965501,zum Schlafen,3747,0,0,SpaceAgeJupiterMoon,266854911,61312
KaktusFloh,9846392,,,0,0,SpaceAgeJupiterMoon,266673367,51962
Hector der Gerechte,3845883,Phoenix,2108,132957,5,SpaceAgeTitan,266606719,29883
ArhangeL,6441165,Nur kein Stress 😴,14128,117795,29,SpaceAgeJupiterMoon,266476792,54412
König.Alex,7392182,,,0,0,OceanicFuture,265818171,154732
carschti71,851723214,Next Generation,16,2143794,141,SpaceAgeTitan,265646219,57185
Iwan0412,10249946,Dragon Riders,159,209644,37,SpaceAgeVenus,265049998,48159
Goggle,8127838,Helden der Birne,5088,2679896,57,ModernEra,264881384,204908
Bordi 0815,2336558,Das schwarze Auge,124,3312904,375,SpaceAgeJupiterMoon,264773989,16151
Der Alex,852325183,Hede,23278,435068,93,SpaceAgeSpaceHub,264638041,18579
-HKB-,850570417,Black Phönix,17642,1061744,207,FutureEra,264392272,136205
don chiron,848931151,,,0,0,SpaceAgeTitan,264318077,56242
Drakon 304 der Tapfere,5201343,Novigrad,13299,95855,16,SpaceAgeSpaceHub,264181097,37788
Perikles 1366 der Rote,851416697,,,0,0,OceanicFuture,264163720,195389
Jostoo,9240106,spass,11544,457414,22,SpaceAgeSpaceHub,264050469,29668
AJ der Ältere,6861888,,,0,0,SpaceAgeSpaceHub,263754340,34762
Long Clancy,852640172,Rising Crown,3780,2474928,409,LateMiddleAge,263716643,173963
Poriotissa,2902881,Sioux,478,0,0,SpaceAgeVenus,263660976,45899
Hijo de la Luna,10397773,,,0,0,FutureEra,263652724,154172
Drebbins,3387220,Die Familie,5895,0,0,SpaceAgeVenus,263514763,58472
Agrippa 836 der Rächer,848983593,,,0,0,FutureEra,263372172,137324
Paula die Eiserne,849055756,time-out,16729,1152720,158,SpaceAgeJupiterMoon,263369938,38649
Jakesuli,4191481,Hanse Königsberg SvD,22989,229894,38,FutureEra,263073829,44327
ZornigerKarl7,5461769,Einfach-so,4583,132579,17,SpaceAgeSpaceHub,262854136,17555
Xerxes00,850873884,Originals / Urlaub,12967,129355,0,OceanicFuture,262834168,122620
I am X,10573030,Goats of Sparta,10522,0,0,OceanicFuture,262774042,92978
Xenophon 253 der Retter,3752056,Die INAKTIVEN,3479,0,0,SpaceAgeJupiterMoon,262276038,44220
KämpferAngel2016,3816792,Götterbande,3358,280740,0,SpaceAgeSpaceHub,262115378,28583
Maki128,9014934,😇Engel+Strategen🈲,60,791162,154,SpaceAgeMars,262101904,108466
EmilP1711,849837339,,,0,0,SpaceAgeJupiterMoon,262096677,57476
JosiB,6804334,The next level,23539,1396620,6,SpaceAgeSpaceHub,262052663,20094
henny1958,850787374,Easy Rider,16290,459368,131,OceanicFuture,261923523,149320
Shierke,2321062,,,0,0,SpaceAgeMars,261828272,110234
mamamia51,849441449,Hanse Königsberg SvD,22989,108868,18,SpaceAgeAsteroidBelt,261741160,58361
Robert 508 der Falke,8876921,Handelsgilde,113,0,0,SpaceAgeSpaceHub,261634697,33370
j181,851919086,Schattenfeuer,24831,335487,53,SpaceAgeJupiterMoon,261268338,59932
Geoffrey 122 der Stolze,2891989,Die freien Völker,267,1072367,325,ContemporaryEra,261223283,117328
Baur,8864597,Unendlichkeit,13805,0,0,SpaceAgeAsteroidBelt,261133170,81394
Billasilver,4473255,New Utopia,5943,243581,4,SpaceAgeSpaceHub,261039774,26897
Paulus14,851188744,,,0,0,SpaceAgeJupiterMoon,260970863,39539
19steffen65,1030851,RELIC HUNTERS,2803,308353,18,SpaceAgeJupiterMoon,260828730,32415
Hanibal der Eroberer,9817340,Wirsindwiederda,18235,143099,7,SpaceAgeSpaceHub,260769155,23418
Midtown001,8365563,Freie Hansestädte,33,1850275,274,SpaceAgeMars,260765463,51066
King Arthur89,3845468,RUHE UND ENTSPANNUNG,20562,0,0,SpaceAgeJupiterMoon,260572724,52236
NetwalkerJedi,9269009,Spikes of Hope,23388,430207,15,SpaceAgeAsteroidBelt,260479194,38062
Lady Me,8834536,,,0,0,SpaceAgeTitan,260269102,56126
Stephan der I. Gerechte,849349194,🌳grüner Hirsch🌳,8112,130076,24,VirtualFuture,260220495,133833
VortigerWeiße,851784969,Lonely Wolf,3292,966995,109,SpaceAgeTitan,260175624,54463
Kai von satanimus,6562367,AktivLocker& Fair,25755,153640,22,SpaceAgeVenus,260034201,81801
Merowech III,851833308,Bierbrauer,12818,890802,67,SpaceAgeSpaceHub,259845994,43012
Wachsafrau,9797943,,,0,0,SpaceAgeVenus,259842309,74512
sdsf,4621792,Die Urlauber,18774,374445,0,SpaceAgeSpaceHub,259493473,16803
Hägar der Großherzige,8353096,Enterprise,877,238537,51,SpaceAgeJupiterMoon,259426524,52977
Rukijan,8627363,😇Engel+Strategen🈲,60,0,0,SpaceAgeTitan,259370462,56395
anhtom,7585736,Devcon5,9260,0,0,SpaceAgeTitan,259370073,43940
bluelion61,3985647,Ocularius-clan,10644,488709,44,SpaceAgeSpaceHub,259217711,44881
Calm19,816617,Force of Nature,21629,261173,23,SpaceAgeAsteroidBelt,259196228,88055
TigerT,849090143,Spirit of Herkules,21272,739087,509,ModernEra,259184265,263359
Nilo die Erste,7918436,Weisse Rose,6843,112508,21,FutureEra,258880935,113692
Godzilla the Great,10229428,meine Auszeit,23667,0,0,SpaceAgeMars,258527788,196345
Frred2000,849775726,Weinviertler,16249,358817,69,SpaceAgeSpaceHub,258506441,42267
doc265,9719836,Die Händler,1661,195961,385,LateMiddleAge,258318171,673245
Akitemp,849824682,Akis Bavarian Clan,19397,533910,0,SpaceAgeSpaceHub,258205379,16189
Landmarker,3005390,,,0,0,SpaceAgeTitan,258173441,52512
Tommes,4984,Krieger des Lichts,1148,85662,0,SpaceAgeAsteroidBelt,258122316,50087
Firefighter29,7796691,Monty`s Compañeros,9974,424171,21,ArcticFuture,258096797,162205
Archer Sterling,850598194,Freigeist,22,-316578,4,SpaceAgeSpaceHub,258062532,18520
Greymo,10437335,Weißer Stein,16326,304524,15,SpaceAgeSpaceHub,257983730,16793
Smiley vorwärts,9557877,🌟Gilead🌟,3165,2982047,200,FutureEra,257889254,155811
Rehpfleger,2833739,Beamtenmikado,88,841746,176,SpaceAgeAsteroidBelt,257876584,74856
Iphigenie 3040 die Rote,5668130,Iphi's Gilde,20022,0,0,SpaceAgeTitan,257448714,55846
snomin,4691832,,,0,0,SpaceAgeJupiterMoon,257208788,92960
Peter der ganz Große,8893261,TARTARIA ⚫️⚪️🔴,25271,762449,377,ProgressiveEra,257083746,347528
Pythagoras 7124 der Löwe,9446347,ρℓαуιηg αηgєℓѕ,92,671617,115,VirtualFuture,257080363,102137
pajo 8,14050,KEIN STRESS 🏖,14466,1033991,150,SpaceAgeJupiterMoon,257052083,66063
Lilly28,851708278,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,1443692,212,SpaceAgeMars,256865749,144690
Dirty2204,7990499,From Dirt to Dirt,21728,0,0,SpaceAgeMars,256712585,104472
schluchzen,849045037,Ü 50-OHNE PFLICHTEN,7652,222700,2,SpaceAgeTitan,256682364,69261
Finlaender,6222853,Die Händler,1661,128682,7,SpaceAgeSpaceHub,256643937,23888
RealTommi,850842787,Schattendrachen,20505,0,0,SpaceAgeSpaceHub,256562984,19775
