name,player_id,guild_name,guild_id,points,battles
Barbar28,9313350,Rising Crown,3780,3825526185,602150
matti1111,851693454,Einfeld,23817,3822224816,501561
Lord Nickedick,6980656,Only Ronin`s,17616,3816780618,532910
John Glenn,9256152,,,3810082885,921990
Karl der Große 1966,9277930,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,3802093911,707235
Paprikano,3185978,Fighting Porcupines,22345,3799434723,526259
BNK-3R,10183504,,,3796546708,1220097
Simunas,3218427,Kommune,5397,3784132524,597090
Agolfo,849192647,Seniorenheim,25608,3777975054,595308
GroßerRomolus,851653318,🥃 Havana Club 🥃,20016,3770514233,524658
Calico Jack R,6323488,FunFighters,3537,3760841754,684217
*Iokasta*,5906364,Weisse Rose,6843,3758145371,623665
Baumeister-WES,9656584,FunFighters,3537,3757442228,483968
Old Kampfgnom,852738541,🐉DragonRocker🏴‍☠️,7226,3757135501,543264
Odin der Götterpartygott,8350900,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,3745696741,629978
eri60,7958153,FunFighters,3537,3745312982,655330
Tyrchen,3846318,Knights of Asgard,6,3733407302,741317
Braveheart76,8579910,Die Flitzpiepen 🦄,20795,3733229585,659794
Hadrian 789 der Grausame,849302695,🐉DragonRocker🏴‍☠️,7226,3711112941,729869
Syntics,848963004,Dragon Riders,159,3709403549,563213
Murphy001,850849696,🕊 Grenzgänger 🕊,12219,3704697608,908922
holger1999,1392263,Next Generation,16,3686261985,786590
FoE Hede,9319713,Weird Ghosts,23231,3684286923,701548
KingGob,851526284,Enterprise,877,3672968107,538525
didi koh phee,10534307,Die Arbeiter,635,3663645812,608903
Dünenkrieger,850878471,Black Phönix,17642,3660922174,632756
Phyteuma,6958607,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,3650127831,843700
HBX599,850221854,Black Phönix,17642,3649992521,628521
Der Sturmgesegnete 233,5897468,RELIC HUNTERS,2803,3644466230,634959
Killa Queen,849124205,Musketierchen 4.0,17389,3639340790,562949
Miss Erfolg,3113198,Outsiders,343,3628360097,727700
Buddy81,850069283,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,3616000911,527956
Schischa der Geist,850716871,FunFighters,3537,3611465169,746169
Gloria Mosca,4588777,,,3589994747,723921
Uschi die Irre,850003953,Outsiders,343,3572220266,744743
zam18-100-92,849922543,Outsiders,343,3556653804,578410
ComplexDock,8497195,Outsiders,343,3554621934,778319
Weltmeister,8699640,Outsiders,343,3550279708,517527
EL Feera,10295900,ρℓαуιηg αηgєℓѕ,92,3549647950,770761
Alex der Forscher,4391866,Alex,25263,3548181001,421186
Arnulf 7 der Gerechte,5652436,🕊 Grenzgänger 🕊,12219,3546716158,815413
Pr3DaToR,7465698,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,3528583041,718897
XtremeDE512,850102118,Die freien Völker,267,3526309630,442841
Tibi*,10283615,⬆️UpGrade*,25718,3525715645,491974
C0ntra,5077828,Only Ronin`s,17616,3502300615,669323
reimax,849241164,Die Arbeiter,635,3496628569,603381
Sparos von der Küste,4300380,👑 Annodazumal 👑,4103,3484900584,716583
Markus 355 der Erbauer,6570004,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,3470244490,620280
Fussel70,9544921,🥇 Neuaufsteher 🥇,12806,3464641861,612791
New.Metal,849839089,,,3456567956,579082
Kattegat04,7558517,Outsiders,343,3447810635,469260
swim1971,5533776,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,3444778788,569257
ranubis,849677749,Dragon Riders,159,3433119233,529182
Fliedie,9204911,FunFighters,3537,3430108129,560253
.Theo.,7344519,Sevenheaven,6855,3428474651,757309
-Benny-,10427451,,,3411877250,745260
Serana Pestruferin,5017689,,,3411370312,855459
Tyr22,851003960,Spirit of Herkules,21272,3407992598,543236
Hotroadcar,849495347,Rising Crown,3780,3396690676,527428
Graf von Burzum,2341635,Only Ronin`s,17616,3393539018,399272
Hottizc,849811922,Insane Guardians,18918,3372076244,769616
Whats happening,4161649,,,3368542473,631393
Campe,7998521,Knights of Asgard,6,3368403239,889848
Nikita Bensel,6169981,Black Phönix,17642,3360535101,554313
Bille s,3382616,⚫️ Black Pearl ⚫️,21695,3354646486,617087
Xerxes1903,8492287,Frei und Freundlich,11817,3350014601,574779
Screech,851442908,Kommune,5397,3347878347,402896
king-of-sendling,8080888,nur meine Gilde,25466,3332943938,507154
Madame Bea,849344045,Hamburger Hanse,8586,3331523475,538699
Adama.,7531679,Black Phönix,17642,3321342013,573165
Deadly Mertlin,8519453,Outsiders,343,3314634672,743704
Akiakamai,4837431,RELIC HUNTERS,2803,3312315619,750810
