name,player_id,guild_name,guild_id,points_change,battles_change,points,battles
Herbertmeier,6067558,,,0,0,50392958,12310
kalli4,4591449,Spaß und Handel,12794,0,0,50342170,26594
Wookie00,4028348,,,0,0,50328762,10305
Skullar,852712724,Auf ein Neues,24400,81140,32,50211817,15398
Schabuh,851267678,Frei und Freundlich,11817,13232,116,50195820,44164
Aristeas 844 der Retter,9989140,,,0,0,50192027,60626
1Larry,849032530,,,0,0,50102939,30013
SushiLeone91,4312190,,,0,0,50097770,22372
Nofretete1,849855863,Einfach nur Spaß,17472,28050,0,50091596,10309
ArmedFire29543,9169798,Bavaria South,14718,0,0,50073054,13723
dieterus,8280701,Österreich 🇦🇹,1409,0,0,49973591,21734
Casaragy,850488707,,,0,0,49923801,24337
freche-sandra,1599830,Von der Insel,8427,272492,0,49920871,11324
Xenophon 1643 der Weise,853168088,Nur Spielen,15660,334754,222,49899841,10813
Romanus Nussus,5587163,Bavarian,5927,24280,0,49793934,14194
Theofilia,10472418,,,0,0,49770507,42323
Al Shut,9129367,Al Shut Brigade,13128,21680,12,49759222,18318
Sodoku,4990971,,,0,0,49728410,10641
Kalli10,10033786,Viva Bavaria,13899,73040,32,49718243,17568
antenfresser20,849404016,etzel,17542,0,0,49705555,12460
LS2806 der lew,852556396,Sun rising ☀️,20014,0,0,49678253,47880
exelent,852772179,,,0,0,49649849,88876
Moby1100,6495427,,,0,0,49635945,17201
Ferdinand 2892 der Held,851033087,FUTURE IS NOW!!!,25055,11085,0,49609348,10747
Atze70,852074649,,,0,0,49555779,109196
Aedesia 930 die Weise,7708162,Die Karawane,20,0,0,49555720,11389
DonCarlo75,5783849,,,0,0,49474797,21370
Sancho420000,851439577,Die Musketiere,6964,164706,295,49458691,50731
Chris833,851276654,Goofy AG,23763,24847,0,49442443,26565
hh1958,10126405,NRW LA,15287,0,0,49419095,53365
Eichhörnchen 40,3769683,🕊Respekt🇺🇦,15265,5283,33,49399767,39474
Faulbaum,1487900,,,0,0,49375675,27833
partisan,852055511,,,0,0,49316963,58088
Justina 742 die Gerechte,6236158,SGE,7264,0,0,49299837,12198
RichardK.,6785152,,,0,0,49276562,10738
Melba der Weise,850193661,Deutschritterorden,4859,16102,1,49242190,32654
Schnulli321,9541060,,,0,0,49195157,27279
Ganso-1992,850623113,Die Bruderschaft,10326,280,4,49155448,62017
winnniee,852035328,NANO TECH,20164,166747,46,49129583,13208
maustown,5022381,,,0,0,49116823,15713
Ichbinis,9998802,,,0,0,49107636,39312
Griller124124,7568698,Relax,3794,0,0,49102610,91634
Fiaxarus der Goldene,10712898,,,0,0,49102200,30052
Bonosus,848915706,Viva Bavaria,13899,44510,20,49061037,17894
sajemi99,10538673,,,0,0,49015727,12536
Sargares,9995025,RuStaG  1913,2193,237181,10,49002225,39775
Chapde,4769695,Päuschen,19961,0,0,49001616,16602
Don Pedro10,4947334,Death Punch,1546,22945,0,48998385,27724
göttliche dana,7004837,Snake World,7386,9151,11,48989598,42386
Uranius 769 der Rote,10250566,,,0,0,48909202,47210
Bogenchütze,849033592,Spaß Haben,16913,0,0,48849509,11611
Argan der zornige,2480148,BadCompany,15834,0,0,48821779,11091
Det von OF,852012139,,,0,0,48679449,62123
Herokles der Wemser,4086931,,,0,0,48666192,16895
LuckyNamor,851997687,Morgenstern,22748,137201,57,48602024,20834
Baumeister55555,850992470,,,0,0,48539749,14631
Sweety4711,4335762,HANDELSKRIEG,8671,828790,285,48525897,18330
and 75,2819947,🖕😜🖕😜🖕😜🖕,19602,23175,0,48524750,10341
Miss from Darkness,9410282,,,0,0,48493832,125350
Dienera,851971486,Freigeist,22,0,0,48480537,19405
---Zeus---,3680841,Göttervater,20403,0,0,48446293,17625
Heidekrieger,849526644,☣⚔  Freie Wilde ⚔️☢,23161,0,0,48429953,17135
GrafSonnenschein,850995901,Die Endgegner,21799,0,0,48418263,26183
Ormed,7026782,,,0,0,48412791,15241
Domitian 54 der Blutige,2370278,regenwurm,22733,0,0,48407679,24513
Holde Katja,850203960,,,0,0,48405212,57241
Continental,850873925,,,0,0,48401767,130001
mueve73,10114171,,,0,0,48381287,24434
LUBOTNER,851721877,FGB Urlaubsgilde 🌴,23322,0,0,48353774,26956
weibstück,6736720,Upea,12434,0,0,48334519,38055
Triton VS,851885426,Sachsen Fighters🇺🇦,2198,445682,206,48292986,20888
Prinzessin 150789,7748113,,,0,0,48196423,16615
Dosenbulle,8755927,,,0,0,48184844,26608
Iolanta 2223 die Zornige,853121721,Blubber,24794,12795,0,48181367,12143
Gaius 379 der Starke,7394267,SPOCK,25049,0,0,48160486,20262
FinKing1,9765248,Kloppertruppe,2722,0,0,48028165,28271
Daisy-,3254665,SleepingBeauty,16655,0,0,47994042,15813
HD 2000 der Löwe,8970141,Stressfrei,24928,27257,23,47968241,26253
Lady PeBo,849923663,SchwaBadener,22128,0,0,47964522,44327
stellastellaria,850870442,,,0,0,47904861,27457
Partigiano,849619443,🇺🇦 Friedliche Händ,862,0,0,47889479,23965
Miga,851255624,,,0,0,47873623,22410
Herr von Ringe,9194104,,,0,0,47848935,36471
St. Percival,852588011,,,0,0,47841934,15818
Zimmer 13,1917764,Gestrandet,2850,0,0,47817534,43332
KayBee,10046600,,,0,0,47811020,18701
Comander17062018,850122132,,,0,0,47697567,35121
kirk02,851581444,ju574fun,22770,31980,82,47636203,27960
Nopain der Weise,5472457,,,0,0,47604114,30916
GamerMaX0720,7653589,Die Arbeiter,635,8269,34,47542523,36460
Louis 411 der Gnädige,7669992,Dark Legends,5050,0,0,47492269,23349
Astrea die Gerechte,10655237,Zauberwald,23560,96938,154,47491625,24239
Kolumbine,9965651,🏆 In.aller.Ruhe 🏆,14666,0,0,47487948,22131
Vine,4014314,Diamantenmine 💎,1530,0,0,47394289,29506
splif,2844433,,,0,0,47365599,12133
F3nriswulf,3348779,,,0,0,47342536,11749
FunnyChewy,850440805,,,0,0,47261898,111761
Daniel 2991 Der Wolf,848903093,,,0,0,47238997,23302
Alunis,851113504,atahualpa kum'yan,23040,0,0,47183881,109447
Lidl,853182777,Nurso,533,198925,140,47173988,15877
Uftenlay,853261951,AktivLocker& Fair,25755,499936,75,47143879,11929
Superaffox,851519476,Reizende Seegurken,23430,0,0,47143342,10496
crazbird,9626051,,,0,0,47142205,21173
The Magic One,851929394,Barbarossa,957,788339,72,47075738,32740
Larven,3917258,La-Familia,743,0,0,47029328,25280
Igor 371,4873592,,,0,0,47025214,15338
Epikur der Dachs,6801896,,,0,0,46986196,18733
Blade0815,9040098,🇺🇦 Friedliche Händ,862,0,0,46964589,18347
Bifteki,850388708,CozaNostra,19555,0,0,46935576,33058
CaptainSeriousE,851146678,Die Arbeiter,635,315645,272,46926316,120384
Tempest,853340389,Insane Guardians,18918,515922,60,46778229,33674
Paolo69,1772363,,,0,0,46766987,38436
Gerbert,849376804,Einfach so nebenbei,10010,75819,20,46731930,34200
Konstanze 6958 die Weise,9832687,,,0,0,46729035,21913
Ben der Grosse 204,850068971,,,0,0,46728296,12113
hund 013,853000568,Die Engel,23450,105948,30,46714168,40973
Lyisha,10120048,,,0,0,46676268,10900
Minimusforge,7033487,,,0,0,46609877,31805
WarriorFred,849605557,Dragon Riders,159,130576,235,46585629,137699
Scario,852305397,,,0,0,46566492,87142
Daniela540,9780533,Die Freikämpfer,9605,0,0,46549371,12156
Graf Albert DD,9852764,,,0,0,46521509,99829
C4tw34zl3,851201202,Die Tavernenhocker,4833,90173,8,46479961,11298
Eurydike 2690 die Geißel,10674778,thunderstruck,16596,48161,188,46462315,71500
Arkadius 728 der Fuchs,8706721,Oger-Land,24955,17210,51,46450005,42870
Tidian,4032989,Kontinuum,24454,0,0,46393794,11326
xJoker01,850003847,Gilde der Freimaurer,14497,-13318,13,46372870,18669
Echelon von Mel Kara,850753093,,,0,0,46364144,69095
ralbus,7300533,1893,24855,2070,0,46331354,10171
Pianissimo,852822885,,,0,0,46311624,56968
LADC,8470488,Weißer Löwe,2088,21749,14,46261169,14903
Schmee66,5839822,,,0,0,46213738,17443
DerBallo,8757597,,,0,0,46191239,47778
Zoe 744 die Glückliche,10695031,,,0,0,46189100,60128
Uncrowned,849405756,,,0,0,46177312,53801
Brutus 783 der Herrliche,849751730,,,0,0,46140675,41333
Alkmene 1255 die Düstere,9475315,nur so,3050,49359,3,46003632,20959
Griff,850038133,,,0,0,45960439,25356
sir leut,853255268,Burg Ritter,24999,7285,61,45950823,16916
KleineZicke66,853011658,Cree,22432,0,0,45944729,16329
Kallisto 308 die Düstere,3206822,Burg Amadeus,25101,-10943,6,45882033,17319
Isys,84223,Die Minititanen,7296,0,0,45783423,19679
Tostan der Ungeduldige,3058437,Gexperten,13455,0,0,45783036,18656
Tobella,9369415,,,0,0,45779213,65895
Sytarius,3648659,,,0,0,45761870,15211
Hamish,852169509,,,0,0,45705827,23844
Raimondo IV,3279530,,,0,0,45680239,83513
